"","survived","pclass","sex","age","sibsp","parch","fare","embarked","class","who","adult_male","deck","embark_town","alive","alone"
"1",1,3,"female",14,1,0,11.2417,"C","Third","child","False","","Cherbourg","yes","False"
"2",1,3,"male",12,1,0,11.2417,"C","Third","child","False","","Cherbourg","yes","False"
"3",1,3,"male",26,0,0,18.7875,"C","Third","man","True","","Cherbourg","yes","True"
"4",1,3,"female",29,0,2,15.2458,"C","Third","woman","False","","Cherbourg","yes","False"
"5",1,3,"female",1,0,2,15.7417,"C","Third","child","False","","Cherbourg","yes","False"
"6",1,3,"female",5,2,1,19.2583,"C","Third","child","False","","Cherbourg","yes","False"
"7",1,3,"male",29,0,0,7.8958,"C","Third","man","True","","Cherbourg","yes","True"
"8",1,3,"female",0.75,2,1,19.2583,"C","Third","child","False","","Cherbourg","yes","False"
"9",1,3,"male",22,0,0,7.225,"C","Third","man","True","","Cherbourg","yes","True"
"10",1,3,"male",20,1,1,15.7417,"C","Third","man","True","","Cherbourg","yes","False"
"11",1,3,"female",0.75,2,1,19.2583,"C","Third","child","False","","Cherbourg","yes","False"
"12",1,3,"female",4,0,1,13.4167,"C","Third","child","False","","Cherbourg","yes","False"
"13",1,3,"male",20,0,0,7.2292,"C","Third","man","True","","Cherbourg","yes","True"
"14",1,3,"female",13,0,0,7.2292,"C","Third","child","False","","Cherbourg","yes","True"
"15",1,3,"male",0.42,0,1,8.5167,"C","Third","child","False","","Cherbourg","yes","False"
"16",1,3,"female",15,1,0,14.4542,"C","Third","child","False","","Cherbourg","yes","False"
"17",1,3,"female",24,0,3,19.2583,"C","Third","woman","False","","Cherbourg","yes","False"
"18",1,3,"female",15,0,0,7.225,"C","Third","child","False","","Cherbourg","yes","True"
