"","survived","pclass","sex","age","sibsp","parch","fare","embarked","class","who","adult_male","deck","embark_town","alive","alone"
"1",0,3,"male",36,0,0,0,"S","Third","man","True","","Southampton","no","True"
"2",0,1,"male",40,0,0,0,"S","First","man","True","B","Southampton","no","True"
"3",1,3,"male",25,0,0,0,"S","Third","man","True","","Southampton","yes","True"
"4",0,3,"male",19,0,0,0,"S","Third","man","True","","Southampton","no","True"
"5",0,3,"male",49,0,0,0,"S","Third","man","True","","Southampton","no","True"
"6",0,1,"male",39,0,0,0,"S","First","man","True","A","Southampton","no","True"
"7",0,1,"male",38,0,0,0,"S","First","man","True","","Southampton","no","True"
"8",0,3,"male",20,0,0,4.0125,"C","Third","man","True","","Cherbourg","no","True"
"9",0,1,"male",33,0,0,5,"S","First","man","True","B","Southampton","no","True"
"10",0,3,"male",61,0,0,6.2375,"S","Third","man","True","","Southampton","no","True"
"11",0,3,"male",34.5,0,0,6.4375,"C","Third","man","True","","Cherbourg","no","True"
"12",0,3,"male",43,0,0,6.45,"S","Third","man","True","","Southampton","no","True"
"13",0,3,"male",34,0,0,6.4958,"S","Third","man","True","","Southampton","no","True"
"14",0,3,"male",18,1,0,6.4958,"S","Third","man","True","","Southampton","no","False"
"15",0,3,"male",19,0,0,6.75,"Q","Third","man","True","","Queenstown","no","True"
"16",0,3,"female",18,0,0,6.75,"Q","Third","woman","False","","Queenstown","no","True"
"17",0,3,"male",45,0,0,6.975,"S","Third","man","True","","Southampton","no","True"
"18",1,3,"male",27,0,0,6.975,"S","Third","man","True","","Southampton","yes","True"
"19",0,3,"male",29,1,0,7.0458,"S","Third","man","True","","Southampton","no","False"
"20",0,3,"male",20,0,0,7.05,"S","Third","man","True","","Southampton","no","True"
"21",0,3,"male",24,0,0,7.05,"S","Third","man","True","","Southampton","no","True"
"22",0,3,"male",35,0,0,7.05,"S","Third","man","True","","Southampton","no","True"
"23",0,3,"male",38,0,0,7.05,"S","Third","man","True","","Southampton","no","True"
"24",0,3,"male",25,0,0,7.05,"S","Third","man","True","","Southampton","no","True"
"25",0,3,"male",25,0,0,7.05,"S","Third","man","True","","Southampton","no","True"
"26",0,3,"male",51,0,0,7.0542,"S","Third","man","True","","Southampton","no","True"
